Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,variant,variant-index,creator,lifecycle:transition,workgroup,Resource,Activity
Case 10,Assign seriousness,Value 3,2010-02-10 08:50:19.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 3,Value 2,Assign seriousness
Case 10,Take in charge ticket,Value 3,2010-03-19 08:47:06.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 3,Value 2,Take in charge ticket
Case 10,Resolve ticket,Value 3,2010-03-19 08:47:13.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 3,Value 2,Resolve ticket
Case 10,Closed,Value 3,2010-04-03 07:47:38.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 3,Value 5,Closed
Case 10,END,artificial,2010-04-03 07:47:38.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 11,START,artificial,2011-12-21 15:24:40.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 11,Assign seriousness,Value 1,2011-12-21 15:24:40.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 11,Take in charge ticket,Value 1,2011-12-21 15:25:34.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Take in charge ticket
Case 11,Resolve ticket,Value 1,2011-12-22 09:55:43.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 11,Closed,Value 1,2012-01-21 15:30:31.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 11,END,artificial,2012-01-21 15:30:31.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 12,START,artificial,2013-03-18 10:47:33.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 12,Assign seriousness,Value 1,2013-03-18 10:47:33.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 12,Take in charge ticket,Value 1,2013-03-18 15:03:49.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 12,Resolve ticket,Value 1,2013-04-03 07:13:38.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 12,Closed,Value 1,2013-04-18 07:13:53.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 12,END,artificial,2013-04-18 07:13:53.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 13,START,artificial,2012-12-17 09:47:48.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 13,Assign seriousness,Value 1,2012-12-17 09:47:48.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Assign seriousness
Case 13,Take in charge ticket,Value 1,2013-01-02 09:22:43.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Take in charge ticket
Case 13,Resolve ticket,Value 1,2013-01-04 10:29:36.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 4,Resolve ticket
Case 13,Closed,Value 1,2013-01-19 10:29:51.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 13,END,artificial,2013-01-19 10:29:51.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 14,START,artificial,2011-07-05 13:47:07.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 14,Assign seriousness,Value 1,2011-07-05 13:47:07.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Assign seriousness
Case 14,Take in charge ticket,Value 1,2011-07-05 13:47:22.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Take in charge ticket
Case 14,Resolve ticket,Value 1,2011-07-05 13:52:37.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Resolve ticket
Case 14,Closed,Value 1,2011-08-05 13:50:21.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 14,END,artificial,2011-08-05 13:50:21.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 15,START,artificial,2013-02-20 09:58:26.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 15,Assign seriousness,Value 1,2013-02-20 09:58:26.999,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 15,Assign seriousness,Value 1,2013-03-08 08:25:42.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 15,Take in charge ticket,Value 1,2013-03-08 08:30:43.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 15,Resolve ticket,Value 1,2013-03-08 08:34:08.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 15,Closed,Value 1,2013-03-23 08:34:25.000,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 15,END,artificial,2013-03-23 08:34:25.001,Variant 4,4,Variant 4,4,Fluxicon Disco,complete,,,
Case 16,START,artificial,2012-02-22 14:16:51.999,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,,,
Case 16,Assign seriousness,Value 1,2012-02-22 14:16:51.999,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 16,Take in charge ticket,Value 1,2012-02-22 16:14:07.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 16,Take in charge ticket,Value 1,2012-02-22 16:23:57.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 16,Resolve ticket,Value 1,2012-02-23 09:47:38.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 16,Closed,Value 1,2012-03-24 14:20:19.000,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 16,END,artificial,2012-03-24 14:20:19.001,Variant 12,12,Variant 12,12,Fluxicon Disco,complete,,,
Case 17,START,artificial,2011-10-14 07:10:46.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 17,Assign seriousness,Value 1,2011-10-14 07:10:46.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 17,Take in charge ticket,Value 1,2011-11-02 16:17:52.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 17,Resolve ticket,Value 1,2011-11-09 13:31:37.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 17,Closed,Value 1,2011-11-24 15:57:55.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 17,END,artificial,2011-11-24 15:57:55.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 18,START,artificial,2013-03-01 16:06:10.999,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,,,
Case 18,Assign seriousness,Value 1,2013-03-01 16:06:10.999,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 18,Take in charge ticket,Value 1,2013-03-18 14:04:03.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 18,Resolve ticket,Value 1,2013-03-19 10:22:40.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 18,Resolve ticket,Value 1,2013-03-19 10:22:40.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 18,Closed,Value 1,2013-04-03 09:23:01.000,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 18,END,artificial,2013-04-03 09:23:01.001,Variant 6,6,Variant 6,6,Fluxicon Disco,complete,,,
Case 19,START,artificial,2010-07-07 07:54:03.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 19,Assign seriousness,Value 1,2010-07-07 07:54:03.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 19,Take in charge ticket,Value 1,2010-07-09 10:10:52.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Take in charge ticket
Case 19,Resolve ticket,Value 1,2010-07-09 10:11:18.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 7,Resolve ticket
Case 19,Closed,Value 1,2010-08-07 08:00:22.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 19,END,artificial,2010-08-07 08:00:22.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 20,START,artificial,2013-05-09 07:10:36.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 20,Assign seriousness,Value 1,2013-05-09 07:10:36.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 14,Assign seriousness
Case 20,Take in charge ticket,Value 1,2013-06-04 13:33:01.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 20,Wait,Value 1,2013-06-10 09:06:43.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Wait
Case 20,Resolve ticket,Value 1,2013-06-19 09:12:02.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 9,Resolve ticket
Case 20,Closed,Value 1,2013-07-04 09:12:15.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 20,END,artificial,2013-07-04 09:12:15.001,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 21,START,artificial,2011-01-14 15:15:20.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 21,Assign seriousness,Value 1,2011-01-14 15:15:20.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 8,Assign seriousness
Case 21,Take in charge ticket,Value 1,2011-01-27 08:06:37.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 21,Resolve ticket,Value 1,2011-01-27 10:19:15.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 21,Closed,Value 1,2011-02-26 10:19:37.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 21,END,artificial,2011-02-26 10:19:37.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 22,START,artificial,2012-07-23 07:49:03.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 22,Assign seriousness,Value 1,2012-07-23 07:49:03.999,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 22,Take in charge ticket,Value 1,2012-07-23 07:49:14.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 22,Wait,Value 1,2012-07-23 08:51:59.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 1,Wait
Case 22,Resolve ticket,Value 1,2012-08-27 10:05:23.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 22,Closed,Value 1,2012-09-11 10:05:33.000,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 22,END,artificial,2012-09-11 10:05:33.001,Variant 2,2,Variant 2,2,Fluxicon Disco,complete,,,
Case 23,START,artificial,2012-12-19 16:33:22.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 23,Assign seriousness,Value 1,2012-12-19 16:33:22.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Assign seriousness
Case 23,Take in charge ticket,Value 1,2013-01-03 08:26:14.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 23,Resolve ticket,Value 1,2013-01-22 15:50:53.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 23,Closed,Value 1,2013-02-06 15:51:06.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 3,Closed
Case 23,END,artificial,2013-02-06 15:51:06.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 24,START,artificial,2010-04-27 09:49:55.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 24,Assign seriousness,Value 1,2010-04-27 09:49:55.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 24,Take in charge ticket,Value 1,2010-06-08 11:06:56.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 24,Resolve ticket,Value 1,2010-06-08 14:46:16.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 24,Closed,Value 1,2010-06-23 14:46:28.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 24,END,artificial,2010-06-23 14:46:28.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 25,START,artificial,2010-12-30 09:27:16.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 25,Assign seriousness,Value 1,2010-12-30 09:27:16.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Assign seriousness
Case 25,Take in charge ticket,Value 1,2010-12-30 13:14:04.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 25,Resolve ticket,Value 1,2010-12-30 15:16:35.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 25,Closed,Value 1,2011-02-16 09:30:28.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 25,END,artificial,2011-02-16 09:30:28.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 26,START,artificial,2011-03-31 07:28:46.999,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,,,
Case 26,Assign seriousness,Value 1,2011-03-31 07:28:46.999,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
Case 26,Take in charge ticket,Value 1,2011-03-31 07:31:59.000,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 26,Wait,Value 1,2011-03-31 08:39:41.000,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 2,Wait
Case 26,Take in charge ticket,Value 1,2011-03-31 11:00:28.000,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 2,Take in charge ticket
Case 26,Resolve ticket,Value 1,2011-03-31 11:00:41.000,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 2,Resolve ticket
Case 26,Closed,Value 1,2011-05-05 09:50:46.000,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 26,END,artificial,2011-05-05 09:50:46.001,Variant 3,3,Variant 3,3,Fluxicon Disco,complete,,,
Case 27,START,artificial,2011-11-24 14:02:15.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 27,Assign seriousness,Value 1,2011-11-24 14:02:15.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 27,Take in charge ticket,Value 1,2011-11-24 14:02:35.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 27,Resolve ticket,Value 1,2011-12-12 09:04:47.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 13,Resolve ticket
Case 27,Closed,Value 1,2011-12-27 09:05:04.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 27,END,artificial,2011-12-27 09:05:04.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 28,START,artificial,2013-10-25 15:53:58.999,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,,,
Case 28,Assign seriousness,Value 1,2013-10-25 15:53:58.999,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 9,Assign seriousness
Case 28,Take in charge ticket,Value 1,2013-10-25 15:54:05.000,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 9,Take in charge ticket
Case 28,Create SW anomaly,Value 1,2013-10-25 15:54:12.000,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 9,Create SW anomaly
Case 28,Require upgrade,Value 1,2013-10-25 15:54:23.000,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 9,Require upgrade
Case 28,Require upgrade,Value 1,2013-11-14 15:55:48.000,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 1,Require upgrade
Case 28,Resolve ticket,Value 1,2013-12-23 08:08:05.000,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 28,END,artificial,2013-12-23 08:08:05.001,Variant 55,55,Variant 55,55,Fluxicon Disco,complete,,,
Case 29,START,artificial,2012-07-30 10:07:31.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 29,Assign seriousness,Value 1,2012-07-30 10:07:31.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Assign seriousness
Case 29,Take in charge ticket,Value 1,2012-07-30 10:07:40.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Take in charge ticket
Case 29,Resolve ticket,Value 1,2012-07-30 12:29:40.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 1,Resolve ticket
Case 29,Closed,Value 1,2012-09-14 10:10:38.000,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 5,Closed
Case 29,END,artificial,2012-09-14 10:10:38.001,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 30,START,artificial,2011-01-21 09:47:19.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,,,
Case 30,Assign seriousness,Value 1,2011-01-21 09:47:19.999,Variant 1,1,Variant 1,1,Fluxicon Disco,complete,Value 1,Value 2,Assign seriousness
